name;address_country;address_city;address_full;contact_phone;contact_fax;contact_website;juridicInfos_nature;juridicInfos_creationYear;juridicInfos_juridicForm;juridicInfos_activity;juridicInfos_capital;juridicInfos_effectif;Logo_link;products_0;products_1;products_2;products_3;dirigeants_0_name;dirigeants_0_funtion;dirigeants_1_name;dirigeants_1_funtion;dirigeants_2_name;dirigeants_2_funtion;dirigeants_3_name;dirigeants_3_funtion;dirigeants_4_name;dirigeants_4_funtion;dirigeants_5_name;dirigeants_5_funtion;dirigeants_6_name;dirigeants_6_funtion;dirigeants_7_name;dirigeants_7_funtion;partner_0_name;partner_0_type;partner_1_name;partner_1_type;partner_2_name;partner_2_type;partner_3_name;partner_3_type;partner_4_name;partner_4_type;partner_5_name;partner_5_type;partner_6_name;partner_6_type;partner_7_name;partner_7_type;partner_8_name;partner_8_type;partner_9_name;partner_9_type;partner_10_name;partner_10_type
Nuventures Ltd;;;;;;http://www.nuventureslimited.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
NVISION GROUP JSC;;;;;;http://www.nvg.ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Nway Consulting LLC;;;;;;http://nwayconsulting.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
O2 Czech Republic;;;;;;http://www.cz.o2.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OAK BRANCH;;;;;;http://oakbranch.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OAK BRANCH (SOUTH AFRICA);;;;;;https://oakbranch.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Oak BVBA;;;;;;http://oak.eu.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Object Technology Solutions India Pvt Ltd;;;;;;http://www.otsi.co.in;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCEASOFT;;;;;;http://www.oceasoft.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCF Plc;;;;;;mailto:vvijay@ocf-data.co.uk;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCF Plc;;;;;;http://ocf.co.uk/data-analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCS Consulting (NL);;;;;;http://www.ocs-consulting.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCS Consulting B.V., 's-Hertogenbosch (NDL), succursale de Genève;;;;;;http://ocs-consulting.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCS Consulting plc (UKI);;;;;;http://www.ocs-consulting.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OCS Consulting Spain;;;;;;http://www.ocs-consulting.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Octasis Ltd;;;;;;http://www.octasis.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Octoplus Information Solutions;;;;;;http://www.octoplus.co.za;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Octoplus Solutions;;;;;;http://www.octoplus.co.za;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Oito Contencioso;;;;;;http://www.oito.srv.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OLAB SRL SEMPLIFICATA;;;;;;https://www.olab-studio.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Olivetti SpA;;;;;;https://www.olivetti.com/en;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Omnio.Net ApS;;;;;;https://www.omnio.net/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Omnix International LLC;;;;;;http://www.omnix.ae;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OMS Egypt For Technology Services;;;;;;https://www.devex.com/organizations/oms-egypt-technology-services-63104;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Onex Hellenic SA;;;;;;https://www.onexcompany.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Onyx Government Services, LLC;;;;;;mailto:gwestfahey@onyxgs.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Onyx Government Services, LLC;;;;;;http://www.onyxgs.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Opciones;;;;;;http://www.opciones.cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Optimal BI Limited;;;;;;http://www.optimalbi.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Optimics s.r.o. (CZ);;;;;;http://www.optimics.cz;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Oratel (Pty) Ltd;;;;;;http://www.oratel.co.za;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Orient Technologies;;;;;;http://www.orientindia.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
OSIsoft Inc;;;;;;http://www.osisoft.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Oslo Srl;;;;;;http://www.oslo.it;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Outcome Unternehmensberatung GmbH;;;;;;http://www.outcome.de;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pacioli Companies;;;;;;http://www.pacioli.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Panirois Co Ltd;;;;;;http://www.panirois.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Panora Associates, Inc.;;;;;;http://www.panoraassociates.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PARAMETRICA S.r.l.;;;;;;http://www.parametrica.net;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Partner Republic Danismanlik Bilisim Hiz Tic AS;;;;;;https://partnerrepublic.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pasco Corp;;;;;;http://www.pasco.co.jp;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Paspara. UAB;;;;;;http://www.paspara.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pat Omeara Associates Inc;;;;;;http://www.patomeara.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PC Cube Srl;;;;;;http://www.pccube.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PCCW Solutions Limited;;;;;;http://www.pccwsolutions.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pcs Consulting Inc;;;;;;http://www.pcsconsulting.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PCS Security Pte Ltd;;;;;;http://www.pcs-security.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Peak Statistical Services Inc;;;;;;http://www.peakstat.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pentacomp Systemy Informatyczne S.A.;;;;;;http://www.pentacomp.pl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Performance Management Partners;;;;;;http://www.pmpartners.es;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pershing Technology Services Co., Ltd;;;;;;mailto:heitorsonhung@pershing.com.tw;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pershing Technology Services Co., Ltd;;;;;;https://www.pershing.com.tw;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pharmalex Belgium SA;;;;;;http://www.arlenda.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Philmark Informatica SpA;;;;;;http://www.philmark.it/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PI Prime Ltd;;;;;;http://piprime.co.uk/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PIC SERVIZI PER L'INFORMATICA SRL;;;;;;https://www.pic-informatica.it/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pinnacle Actuarial Resources;;;;;;http://www.pinnacleactuaries.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Plain Concepts SL;;;;;;http://www.plainconcepts.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PM HOLDING SRL;;;;;;http://www.pmholding.it;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
point of origin Marketing Consulting & Consumer intelligence GmbH;;;;;;http://www.pointoforigin.at;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Polestar Solutions & Services;;;;;;http://www.polestarllp.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company  GmbH (AT);;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company  GmbH (AT);;;;;;http://www.positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company  GmbH (DE);;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company  GmbH (DE);;;;;;https://www.positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company (CH);;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company (CH);;;;;;https://www.positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company BE;;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company BE;;;;;;https://www.positivethinking.tech/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
POSITIVE THINKING COMPANY FRANCE;;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
POSITIVE THINKING COMPANY FRANCE;;;;;;https://www.positivethinking.tech/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company LUX;;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company LUX;;;;;;https://www.positivethinking.tech/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company NL;;;;;;mailto:pvacilotto@positivethinking.tech;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Positive Thinking Company NL;;;;;;https://www.positivethinking.tech/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PPN Tecnologia e Informática Ltda;;;;;;http://www.ppntecnologia.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pragma Informatica SA Chile;;;;;;http://www.pragma.cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PreCog Data;;;;;;mailto:becky@precog.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PreCog Data;;;;;;http://www.precog.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Predictiva SAS Colombia;;;;;;mailto:oscar.medina@predictiva.com.co;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Predictiva SAS Colombia;;;;;;http://www.predictiva.com.co;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Premium Consulting LLC;;;;;;http://www.premconsulting.ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Preteco (Argentina);;;;;;http://preteco.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Primus Partners Private Limited;;;;;;https://www.primuspartners.in ;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Princeton Consultants Inc;;;;;;https://www.princeton.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Principa Decisions (Pty) Ltd;;;;;;http://www.PICSolutions.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Printec Bulgaria;;;;;;https://www.printecgroup.com/en/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Printec SA;;;;;;http://www.printecgroup.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prisma Srl;;;;;;http://www.prismarep.com/index.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pristop d.o.o.;;;;;;http://www.pristop.si;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
ProCibernetica S.A.;;;;;;http://www.procibernetica.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prodeliver Analytics (Pty) Ltd;;;;;;http://prodeliveranalytics.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prof IT Global TOO;;;;;;http://www.profitg.kz;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prof-It4all BV;;;;;;mailto:info@prof-it4all.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prof-It4all BV;;;;;;https://prof-it4all.nl/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Professional Computer Company Limited;;;;;;http://www.pccth.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Progress Software Corp.;;;;;;https://www.progress.com/datadirect-connectors;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pronostica SAS;;;;;;http://www.pronostica.com.co;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pronova;;;;;;http://www.pronova.cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PROOF OF CONCEPT CONSULTING;;;;;;http://www.poc-consulting.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Proteqnic BV (Sweden);;;;;;http://proteqnic.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Protiviti Inc.;;;;;;https://www.protiviti.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prowerk;;;;;;http://www.prowerk.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Prowerk Consulting LLC;;;;;;http://www.prowerk.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Berca Hardayaperkasa;;;;;;http://www.berca.co.id/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT BLUE POWER TECHNOLOGY;;;;;;https://www.bluepowertechnology.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Cinovasi Rekaprima;;;;;;http://www.cinovasi.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Crowe Indonesia Teknologi;;;;;;https://www.crowe.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Cubes Consulting;;;;;;http://www.cubesconsulting.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Harvest Perdana Kompakindo;;;;;;http://www.hpkom.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Info Lab Indonesia;;;;;;http://www.info-lab.co.id;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Infolab Digital Solusi;;;;;;http://www.infolabsolution.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Intikom Berlian Mustika;;;;;;http://www.intikom.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Intrilogi Optima Solusi;;;;;;http://intrilogi.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT ITSEC Asia;;;;;;http://www.itsec.asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Microvac Indonesia;;;;;;https://www.linkedin.com/company/pt-microvac-indonesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Multipolar Technology;;;;;;http://www.multipolar.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Nexia Indonesia Advisory Services;;;;;;mailto:winara.arigayo@nexiaindonesia.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Nexia Indonesia Advisory Services;;;;;;http://www.nexiaindonesia.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Pro Sistimatika Automasi;;;;;;http://prosia.co.id/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Quadrant Solutions;;;;;;http://www.ptquadrant.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Sarana Maju Lestari;;;;;;http://www.smltech.co.id;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Sinergi Wahana Gemilang;;;;;;mailto:ella.rensiana@swgemilang.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Sinergi Wahana Gemilang;;;;;;https://www.swgemilang.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Smartfren Telecom Tbk;;;;;;https://www.smartfren.com/business;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Solusindo Total Teknikatama;;;;;;http://www.solusindotama.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT Sutra Management Consultancies;;;;;;https://www.i3cglobal.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT. METRODATA ELECTRONICS TBK;;;;;;https://www.metrodata.co.id/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT. MITRA INTI BERSAMA;;;;;;https://mitraintibersama.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PT. SINERGI INFORMATIKA SEMEN INDONESIA;;;;;;https://sisi.id/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PTA GmbH;;;;;;http://www.pta.de;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PTC System (S) Pte Ltd;;;;;;https://ptcsys.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PW Consulting B.V.;;;;;;https://www.pwconsulting.nl/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Pyramid Information and Management Limited;;;;;;http://pyramid-im.cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
PYTHON PREDICTIONS;;;;;;http://www.pythonpredictions.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Q-East Software SRL;;;;;;mailto:ciprian.negoiescu@qeast.ro;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Q-East Software SRL;;;;;;http://www.qeast.ro;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Q-PERIOR Canada;;;;;;https://www.q-perior.com/en/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Q-PERIOR INC;;;;;;https://www.q-perior.com/en/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Q_PERIOR AG;;;;;;http://www.q-perior.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Qlick2 Ltd;;;;;;http://www.qlick2.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
QNH Consulting BV;;;;;;http://qnh.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Qrious Limited;;;;;;http://qrious.co.nz;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Quales;;;;;;http://www.qualesgroup.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Qualex Australia Pty Ltd;;;;;;http://www.qlx.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Qualex Consulting Services Inc.;;;;;;http://www.qlx.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Quantrio Consulting SRL;;;;;;http://www.quantrio.ro;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Quid Informatica SpA;;;;;;http://www.quidinfo.it;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Raiffeisen Software Solution und Service GmbH;;;;;;https://revville.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Raken Consultoria y Sistemas SA de CV;;;;;;http://rakendatagroup.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Raken Data Group Chile;;;;;;http://www.rakendatagroup.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
RATIONENCE SRL;;;;;;http://www.rationence.eu;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
REACFIN;;;;;;http://www.reacfin.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
RealDolmen NV;;;;;;http://www.realdolmen.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Red Hat, Inc.;;;;;;http://www.redhat.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Red Innovations;;;;;;http://www.redinnovations.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
RedMane Technology;;;;;;http://www.redmane.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Rely IT;;;;;;http://www.relyit.se;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Reports BV;;;;;;http://www.reports.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Repuco Unternehmensberatung GmbH;;;;;;http://www.repuco.at;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Resolvit Resources, LLC;;;;;;mailto:mwilliams@resolvit.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Resolvit Resources, LLC;;;;;;http://www.resolvit.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
Resource Tecnologia Informatica;;;;;;http://www.resourceit.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAS;;;;;;;;;;;;;;;;;;;;;
